synset	hyponym	lang	gloss
female	female_lion	Spanish	leona
female	female_lion	English	lioness
female	female_lion	English	female_lion
female	hen	Swedish	höna
female	hen	Spanish	gallina
female	hen	English	hen
female	hen	Japanese	雌鶏
female	hen	Georgian	კრუხი
female	hen	Georgian	ქათმისა
female	hen	Georgian	ქათამი
female	hen	Georgian	დედალი
female	hen	Polish	kura
female	hen	Serbian	кокошка
female	hen	Serbian	кокош
female	hen	Serbian	kokoš
female	hen	Serbian	kokoška
female	hen	Chinese	母鸡
female	hen	Chinese	母雞
female	hen	Greek	κότα
female	hen	Vietnamese	gà_mái
female	hen	Arabic	دَجاحة
female	hen	Arabic	دجاجة
female	Gamergate	Swedish	Gamergate
female	Gamergate	English	Gamergate
female	Gamergate	English	Gamergate_ant
female	cow	Swedish	ko
female	cow	Swedish	Ko
female	cow	Swedish	kossa
female	cow	Spanish	vaca
female	cow	English	cow
female	cow	Japanese	雌牛
female	cow	Japanese	牛
female	cow	Georgian	ძროხა
female	cow	Polish	krowa
female	cow	Basque	behi
female	cow	Serbian	крава
female	cow	Serbian	krava
female	cow	Chinese	牝牛
female	cow	Chinese	乳牛
female	cow	Chinese	母牛
female	cow	Greek	αγελάδα
female	cow	Vietnamese	bò
female	cow	Vietnamese	bò_cái
female	cow	Arabic	أنثى_البقرة
female	cow	Arabic	بَقَرَة
female	cow	Arabic	بقرة
female	dam	Spanish	progenitora
female	dam	Spanish	madre
female	dam	English	dam
female	dam	Japanese	母
female	dam	Japanese	お母さん
female	dam	Basque	ama
female	female_mammal	Swedish	hondäggdjur
female	female_mammal	Spanish	mamífera
female	female_mammal	Spanish	mamífero_hembra
female	female_mammal	English	female_mammal
female	female_mammal	Japanese	雌の哺乳類
female	female_mammal	Polish	samice_ssaków
female	female_mammal	Serbian	женски_сисар
female	female_mammal	Chinese	雌性哺乳动物
female	female_mammal	Greek	θηλυκά_θηλαστικά
female	female_mammal	Greek	θηλυκού_θηλαστικού
female	female_mammal	Vietnamese	nữ_loài_động_vật_có_vú
female	female_mammal	Arabic	الإناث_الثدييات
female	filly	Swedish	ungsto
female	filly	Swedish	stoföl
female	filly	Swedish	ston
female	filly	Swedish	stoet
female	filly	Swedish	sto
female	filly	Spanish	potra
female	filly	Spanish	potranca
female	filly	Spanish	potrancas
female	filly	English	filly
female	filly	English	Filly
female	filly	English	Fillies
female	filly	Japanese	雌の子馬
female	filly	Japanese	牝_馬
female	filly	Polish	klaczka
female	filly	Polish	źrebica
female	filly	Polish	dzierlatka
female	filly	Polish	klaczy
female	filly	Basque	behoka
female	filly	Basque	Behoka
female	filly	Serbian	филлиес
female	filly	Serbian	филли
female	filly	Serbian	ждребица
female	filly	Chinese	小雌馬_小雌马
female	filly	Chinese	小母马
female	filly	Chinese	菲伊
female	filly	Greek	φοραδίτσα
female	filly	Greek	φοράδα
female	filly	Greek	φοράδες
female	filly	Vietnamese	thiếu_nư_vui_vẻ
female	filly	Vietnamese	fillies
female	filly	Arabic	فتاة
female	filly	Arabic	مُهْرَة‎
female	filly	Arabic	المهر
female	hen	English	hen
female	hen	Greek	θαλασσινό_θηλυκού_γένους
female	hen	Greek	θαλασσινό
woman	aunt	Swedish	faster
woman	aunt	Swedish	tant
woman	aunt	Swedish	moster
woman	aunt	Swedish	aunty
woman	aunt	Spanish	tía
woman	aunt	Spanish	tia_paterna
woman	aunt	Spanish	tía_abuela
woman	aunt	Spanish	tiíta
woman	aunt	Spanish	hermana_del_padre
woman	aunt	Spanish	tía_paterna
woman	aunt	Spanish	tita
woman	aunt	Spanish	tia
woman	aunt	English	aunt
woman	aunt	English	paternal_aunt
woman	aunt	English	great-aunt
woman	aunt	English	aunty
woman	aunt	English	auntie
woman	aunt	English	aunt_by_marriage
woman	aunt	English	grandaunt
woman	aunt	English	father's_sister
woman	aunt	English	aunt-in-law
woman	aunt	English	Grandaunt
woman	aunt	English	Paternal_Aunt
woman	aunt	English	Grand_aunt
woman	aunt	English	Great_aunt
woman	aunt	English	Greataunt
woman	aunt	English	Great-grand-aunt
woman	aunt	English	Aunts
woman	aunt	English	Aunt-in-law
woman	aunt	English	Paternal_aunt
woman	aunt	English	Grand-aunt
woman	aunt	English	Aunties
woman	aunt	English	Great-grandaunt
woman	aunt	English	Great-aunt
woman	aunt	English	Praternal_aunt
woman	aunt	Japanese	叔母
woman	aunt	Japanese	おば
woman	aunt	Japanese	伯母
woman	aunt	Japanese	おばさん
woman	aunt	Japanese	義伯母
woman	aunt	Japanese	おばちゃん
woman	aunt	Japanese	小母
woman	aunt	Japanese	父方のおば
woman	aunt	Japanese	大叔母
woman	aunt	Japanese	叔母御
woman	aunt	Japanese	叔母さん
woman	aunt	Japanese	伯母さん
woman	aunt	Japanese	伯母御
woman	aunt	Japanese	叔母さま
woman	aunt	Japanese	叔母様
woman	aunt	Japanese	伯母さま
woman	aunt	Georgian	მამიდა
woman	aunt	Georgian	დეიდა
woman	aunt	Georgian	ბიცოლა
woman	aunt	Georgian	პაპიდა
woman	aunt	Polish	ciocia
woman	aunt	Polish	ciotka
woman	aunt	Polish	ciotka_ojczysta
woman	aunt	Polish	stryjenka
woman	aunt	Polish	wujenka
woman	aunt	Basque	izeba
woman	aunt	Basque	izeko
woman	aunt	Basque	Izeba
woman	aunt	Basque	Izeko
woman	aunt	Serbian	тетка
woman	aunt	Serbian	очева_сестра
woman	aunt	Serbian	теткица
woman	aunt	Chinese	姑母
woman	aunt	Chinese	姑姑
woman	aunt	Chinese	姑妈
woman	aunt	Chinese	伯母
woman	aunt	Chinese	姑
woman	aunt	Chinese	婶子
woman	aunt	Chinese	阿姨
woman	aunt	Chinese	姨
woman	aunt	Chinese	姨母
woman	aunt	Chinese	舅妈
woman	aunt	Chinese	舅母
woman	aunt	Chinese	婶婶
woman	aunt	Chinese	妗
woman	aunt	Chinese	婶母
woman	aunt	Chinese	姑（姨、舅、伯、婶）母
woman	aunt	Chinese	妗母
woman	aunt	Chinese	嬸母
woman	aunt	Chinese	老大妈
woman	aunt	Chinese	姨妈
woman	aunt	Chinese	叔母
woman	aunt	Chinese	姑_姑媽_姑妈_姑姑_姑母_伯母_叔母_嬸母_婶母_嬸嬸_婶婶_姨_姨媽_姨妈_阿姨_姨母_舅母_舅媽_舅妈_妗母_妗
woman	aunt	Chinese	姑媽
woman	aunt	Chinese	姑父
woman	aunt	Chinese	姑姐
woman	aunt	Chinese	姑丈
woman	aunt	Chinese	阿_姨
woman	aunt	Chinese	老大娘
woman	aunt	Greek	θεία
woman	aunt	Greek	θείτσα
woman	aunt	Greek	θεια
woman	aunt	Vietnamese	cô
woman	aunt	Vietnamese	dì
woman	aunt	Vietnamese	bác_gái
woman	aunt	Vietnamese	cô_/_dì_/_thím_/_bác_gái
woman	aunt	Vietnamese	thím
woman	aunt	Vietnamese	cô_dì
woman	aunt	Vietnamese	aunty
woman	aunt	Vietnamese	mợ
woman	aunt	Arabic	عمة
woman	aunt	Arabic	العمة/الخالة
woman	aunt	Arabic	عَمَّة‎
woman	aunt	Arabic	خَالَة‎
woman	aunt	Arabic	عمتي
woman	call_girl	Swedish	Callgirl
woman	call_girl	Swedish	samtal_flicka
woman	call_girl	Swedish	call-girl
woman	call_girl	Swedish	callgirl
woman	call_girl	Swedish	call-tjej
woman	call_girl	Spanish	escort
woman	call_girl	Spanish	escolta
woman	call_girl	Spanish	Call_girl
woman	call_girl	Spanish	Chica_de_compañía
woman	call_girl	Spanish	prostituta
woman	call_girl	Spanish	call_girl
woman	call_girl	Spanish	Escort
woman	call_girl	Spanish	Escorts
woman	call_girl	Spanish	Chica_de_compania
woman	call_girl	Spanish	callgirl
woman	call_girl	Spanish	prostitutas
woman	call_girl	Spanish	call-girl
woman	call_girl	Spanish	llamar_niña
woman	call_girl	English	call_girl
woman	call_girl	English	escort
woman	call_girl	English	Callgirl
woman	call_girl	English	Luxury_prostitute
woman	call_girl	English	Luxury_prostitution
woman	call_girl	English	Outcall
woman	call_girl	English	Call_girls
woman	call_girl	English	Incall
woman	call_girl	English	Female_escort
woman	call_girl	English	Escort_prostitute
woman	call_girl	English	Outcall_service
woman	call_girl	English	Call_Girl
woman	call_girl	English	Call-girl
woman	call_girl	English	Escort_prostitution
woman	call_girl	English	Escort
woman	call_girl	English	Out_call
woman	call_girl	Japanese	コールガール
woman	call_girl	Japanese	女の子を呼ぶ
woman	call_girl	Japanese	callgirl
woman	call_girl	Japanese	コ_ー_ル_ガ
woman	call_girl	Polish	call_girl
woman	call_girl	Polish	call-girl
woman	call_girl	Polish	Agencja_towarzyska
woman	call_girl	Polish	callgirl
woman	call_girl	Polish	call-dziewczyna
woman	call_girl	Polish	call_girls
woman	call_girl	Polish	zadzwoń_dziewczynę
woman	call_girl	Basque	prostituta
woman	call_girl	Serbian	Колгерла
woman	call_girl	Serbian	Call_girl
woman	call_girl	Serbian	дроља
woman	call_girl	Serbian	позива_девојке
woman	call_girl	Serbian	позив_девојка
woman	call_girl	Serbian	цаллгирл
woman	call_girl	Chinese	应_召_女_郎
woman	call_girl	Chinese	應召女郎
woman	call_girl	Chinese	三陪
woman	call_girl	Chinese	应召女郎
woman	call_girl	Greek	καλέστε_κορίτσι
woman	call_girl	Greek	call-girl
woman	call_girl	Greek	callgirl
woman	call_girl	Greek	κορίτσι_κλήση
woman	call_girl	Vietnamese	Gái_mại_dâm
woman	call_girl	Vietnamese	Gái_bao_tại_Việt_Nam
woman	call_girl	Vietnamese	Gái_điếm
woman	call_girl	Vietnamese	Gái_bán_dâm
woman	call_girl	Vietnamese	Kỹ_nữ
woman	call_girl	Vietnamese	Cô_gái_làng_chơi
woman	call_girl	Vietnamese	Điếm
woman	call_girl	Vietnamese	Gái_làng_chơi
woman	call_girl	Vietnamese	Gái_làm_tiền
woman	call_girl	Vietnamese	Kĩ_nữ
woman	call_girl	Vietnamese	Ca_ve
woman	call_girl	Vietnamese	Mại_dâm_nữ
woman	call_girl	Vietnamese	Gái_bán_hoa
woman	call_girl	Vietnamese	Cave
woman	call_girl	Vietnamese	Gái_gọi
woman	call_girl	Vietnamese	Đĩ
woman	call_girl	Vietnamese	Gái_đứng_đường
woman	call_girl	Vietnamese	Gái_lầu_xanh
woman	call_girl	Vietnamese	callgirl
woman	call_girl	Vietnamese	gọi_cô_gái
woman	call_girl	Vietnamese	cô_gái_gọi
woman	call_girl	Vietnamese	gái_gọi
woman	call_girl	Arabic	فتاة_الدعوة
woman	call_girl	Arabic	استدعاء_فتاة
woman	milkmaid	Swedish	mjölkerska
woman	milkmaid	Swedish	mjölkjungfrun
woman	milkmaid	Swedish	mjölkpiga
woman	milkmaid	Swedish	dairymaid
woman	milkmaid	Spanish	lechera
woman	milkmaid	Spanish	ordeñadora
woman	milkmaid	Spanish	Lechera
woman	milkmaid	Spanish	quesera
woman	milkmaid	English	milkmaid
woman	milkmaid	English	dairymaid
woman	milkmaid	English	milk_maid
woman	milkmaid	English	Cow_maid
woman	milkmaid	English	Milk_maid
woman	milkmaid	English	Milkmaids
woman	milkmaid	Japanese	乳搾り女
woman	milkmaid	Japanese	ミルクメイド
woman	milkmaid	Japanese	乳しぼり女
woman	milkmaid	Japanese	乳搾りの女
woman	milkmaid	Japanese	dairymaid
woman	milkmaid	Polish	dojarka
woman	milkmaid	Polish	dójka
woman	milkmaid	Polish	mleczarka
woman	milkmaid	Basque	esnezale
woman	milkmaid	Basque	esneketari
woman	milkmaid	Serbian	млекарица
woman	milkmaid	Serbian	даиримаид
woman	milkmaid	Chinese	擠奶女工_挤奶女工
woman	milkmaid	Chinese	挤奶员
woman	milkmaid	Greek	αρμέχτρα
woman	milkmaid	Greek	γαλακτοπώλης
woman	milkmaid	Greek	χωριατοπούλα
woman	milkmaid	Greek	dairymaid
woman	milkmaid	Vietnamese	cô_bán_sưa
woman	milkmaid	Vietnamese	cô_gái_vắt_sữa
woman	milkmaid	Vietnamese	cô_gái_bán_sưa_bơ_và_pho_mát
woman	milkmaid	Arabic	حالِبَه،_عامِلَه_في_ملْبَنَه‎
woman	milkmaid	Arabic	العاملة_فى_ملبنة
woman	milkmaid	Arabic	الفتاة_الحلابة
woman	milkmaid	Arabic	محلبة
woman	daughter	Swedish	dotter
woman	daughter	Swedish	döttrar
woman	daughter	Spanish	hija
woman	daughter	Spanish	hijo
woman	daughter	Spanish	niña
woman	daughter	Spanish	hijas
woman	daughter	English	daughter
woman	daughter	English	girl
woman	daughter	English	child
woman	daughter	English	Daughters
woman	daughter	English	Daughterhood
woman	daughter	Japanese	娘
woman	daughter	Japanese	三女
woman	daughter	Japanese	二女
woman	daughter	Japanese	長女
woman	daughter	Japanese	四女
woman	daughter	Japanese	息女
woman	daughter	Japanese	御嬢さん
woman	daughter	Japanese	愛嬢
woman	daughter	Japanese	ご令嬢
woman	daughter	Japanese	娘さん
woman	daughter	Japanese	御令嬢
woman	daughter	Japanese	娘子
woman	daughter	Japanese	令嬢
woman	daughter	Japanese	お嬢さん
woman	daughter	Georgian	ასული
woman	daughter	Georgian	ქალიშვილი
woman	daughter	Georgian	ქალი
woman	daughter	Polish	córka
woman	daughter	Polish	dziewczynka
woman	daughter	Polish	córeczka
woman	daughter	Polish	córki
woman	daughter	Basque	alaba
woman	daughter	Basque	Alaba
woman	daughter	Serbian	ћерка
woman	daughter	Serbian	ćerka
woman	daughter	Serbian	кћи
woman	daughter	Serbian	kći
woman	daughter	Serbian	кћерка
woman	daughter	Serbian	Ћерка
woman	daughter	Serbian	kćerka
woman	daughter	Serbian	Кћер
woman	daughter	Serbian	Ћерке
woman	daughter	Serbian	Шћер
woman	daughter	Serbian	Кћерка
woman	daughter	Serbian	Кћи
woman	daughter	Serbian	ћерке
woman	daughter	Chinese	女儿
woman	daughter	Chinese	女兒
woman	daughter	Chinese	女_儿
woman	daughter	Greek	κόρη
woman	daughter	Greek	θυγατέρα
woman	daughter	Greek	κόρες
woman	daughter	Vietnamese	con_gái
woman	daughter	Vietnamese	Con_gái
woman	daughter	Arabic	ابنة
woman	daughter	Arabic	بنت
woman	daughter	Arabic	إبنة
woman	daughter	Arabic	الابنة
woman	daughter	Arabic	بنات
woman	femme_fatale	Swedish	femme_fatale
woman	femme_fatale	Swedish	Femme_fatale
woman	femme_fatale	Swedish	fresterska
woman	femme_fatale	Swedish	tjuserska
woman	femme_fatale	Swedish	Femme_Fatale
woman	femme_fatale	Spanish	mujer_fatal
woman	femme_fatale	Spanish	femme_fatale
woman	femme_fatale	Spanish	tentadora
woman	femme_fatale	Spanish	vampiresa
woman	femme_fatale	Spanish	seductora
woman	femme_fatale	Spanish	tigresa
woman	femme_fatale	Spanish	provocadora
woman	femme_fatale	Spanish	Femme_fatale
woman	femme_fatale	Spanish	Vampiresa
woman	femme_fatale	English	femme_fatale
woman	femme_fatale	English	siren
woman	femme_fatale	English	enchantress
woman	femme_fatale	English	temptress
woman	femme_fatale	English	Delilah
woman	femme_fatale	English	man-eater
woman	femme_fatale	English	Homme-fatale
woman	femme_fatale	English	Femme-fatale
woman	femme_fatale	English	Homme_fatale
woman	femme_fatale	English	Femme_fatal
woman	femme_fatale	English	Homme_fatal
woman	femme_fatale	English	Femme_Fetale
woman	femme_fatale	English	Femme-Fatale
woman	femme_fatale	English	Fem_fetale
woman	femme_fatale	English	Poison_women
woman	femme_fatale	English	Femmes_fatales
woman	femme_fatale	English	Temptress
woman	femme_fatale	Japanese	妖婦
woman	femme_fatale	Japanese	ファム・ファタル
woman	femme_fatale	Japanese	ファム・ファタール
woman	femme_fatale	Japanese	妖女
woman	femme_fatale	Japanese	ファムファタール
woman	femme_fatale	Japanese	傾城傾国
woman	femme_fatale	Japanese	魔性の女
woman	femme_fatale	Japanese	誘_惑
woman	femme_fatale	Japanese	誘惑する女
woman	femme_fatale	Polish	kusicielka
woman	femme_fatale	Polish	syrena
woman	femme_fatale	Polish	Femme_fatale
woman	femme_fatale	Polish	femme_fatale
woman	femme_fatale	Polish	kobieta_fatalna
woman	femme_fatale	Polish	uwodzicielka
woman	femme_fatale	Polish	Kobieta_fatalna
woman	femme_fatale	Basque	Femme_fatale
woman	femme_fatale	Basque	limurtzaile
woman	femme_fatale	Basque	tentatzaile
woman	femme_fatale	Serbian	Femme_Fatale
woman	femme_fatale	Serbian	Фатална_жена
woman	femme_fatale	Serbian	фемме_фатале
woman	femme_fatale	Serbian	заводница
woman	femme_fatale	Serbian	оваплоћење_искушења
woman	femme_fatale	Chinese	蛇蝎美人
woman	femme_fatale	Chinese	妖姬
woman	femme_fatale	Chinese	蛇蠍美人_蛇蝎美人_妖姬_女妖精
woman	femme_fatale	Chinese	致命女郎
woman	femme_fatale	Chinese	蛇蠍美人
woman	femme_fatale	Chinese	风月
woman	femme_fatale	Chinese	妖_妇
woman	femme_fatale	Greek	femme_fatale
woman	femme_fatale	Greek	σειρήνα
woman	femme_fatale	Greek	ξεμυαλίστρα
woman	femme_fatale	Greek	γυναίκα_πειρασμός
woman	femme_fatale	Vietnamese	femme_fatale
woman	femme_fatale	Vietnamese	temptress
woman	femme_fatale	Vietnamese	người_đàn_bà_quyến_ru
woman	femme_fatale	Arabic	طَاغِيَة_جَمَال‎
woman	femme_fatale	Arabic	الفاتنه
woman	femme_fatale	Arabic	فام_fatale
woman	femme_fatale	Arabic	إغواء
woman	queen	Swedish	drottning
woman	queen	Swedish	drottning_regnant
woman	queen	Swedish	Queen
woman	queen	Swedish	Regerande_drottning
woman	queen	Swedish	Drottning
woman	queen	Swedish	Titulärdrottning
woman	queen	Swedish	kejsarinnan_regnant
woman	queen	Swedish	kvinnlig_monark
woman	queen	Spanish	reina
woman	queen	Spanish	reina_reinante
woman	queen	Spanish	soberana_reinante
woman	queen	Spanish	monarca
woman	queen	Spanish	hembra_monarca
woman	queen	Spanish	emperatriz_reinante
woman	queen	English	queen
woman	queen	English	queen_regnant
woman	queen	English	empress_regnant
woman	queen	English	female_monarch
woman	queen	English	Queen
woman	queen	English	Empress_regnant
woman	queen	English	Queens_regnant
woman	queen	English	HM_The_Queen
woman	queen	English	Queen_Regnant
woman	queen	English	Emperor_regnant
woman	queen	English	Empress_Regnant
woman	queen	English	List_of_current_queens_regnant
woman	queen	English	Reigning_Queen
woman	queen	English	Queen_in_her_own_right
woman	queen	English	Queen-regnant
woman	queen	Japanese	女王
woman	queen	Japanese	クィーン
woman	queen	Japanese	皇后
woman	queen	Japanese	女王様
woman	queen	Japanese	女帝
woman	queen	Japanese	クイーン
woman	queen	Japanese	女性君主
woman	queen	Japanese	女君主
woman	queen	Japanese	女_帝_。
woman	queen	Japanese	統治女王
woman	queen	Japanese	女王君臨する
woman	queen	Japanese	女皇
woman	queen	Georgian	დედოფალი
woman	queen	Polish	królowa
woman	queen	Polish	Monarchini
woman	queen	Polish	cesarzowej_regnant
woman	queen	Polish	królowa_regnant
woman	queen	Polish	samica_monarcha
woman	queen	Basque	erregina
woman	queen	Serbian	краљица
woman	queen	Serbian	краљица_владајући
woman	queen	Serbian	женски_монарха
woman	queen	Serbian	царице_преовлађујући
woman	queen	Chinese	女王
woman	queen	Chinese	王妃
woman	queen	Chinese	王后_女王_女王_女皇_王后
