synset	hyponym	lang	gloss
man	boyfriend	English	boyfriend
man	boyfriend	English	beau
man	boyfriend	English	young_man
man	boyfriend	English	fellow
man	boyfriend	English	boyfriend_/_girlfriend
man	boyfriend	English	swain
man	boyfriend	English	Male_sweetheart
man	boyfriend	English	Gentleman_friend
man	boyfriend	English	Boy-friend
man	boyfriend	English	Boyfriend'
man	boyfriend	English	Guy_friend
man	boyfriend	English	Boyfriends
man	boyfriend	Swedish	pojkvän
man	boyfriend	Swedish	Pojkvän
man	boyfriend	Swedish	pojkvän_kille_käraste
man	boyfriend	Swedish	swain
man	boyfriend	Spanish	novio
man	boyfriend	Spanish	pololo
man	boyfriend	Spanish	enamorado
man	boyfriend	Spanish	pareja
man	boyfriend	Spanish	pareja_sentimental
man	boyfriend	Spanish	prometido
man	boyfriend	Spanish	compañero
man	boyfriend	Spanish	amigo
man	boyfriend	Spanish	zagal
man	boyfriend	Japanese	彼氏
man	boyfriend	Japanese	ボーイフレンド
man	boyfriend	Japanese	彼
man	boyfriend	Japanese	カレ
man	boyfriend	Japanese	カレシ
man	boyfriend	Japanese	スウェイン
man	boyfriend	Georgian	შეყვარებული
man	boyfriend	Georgian	მეგობარი_კაცი
man	boyfriend	Georgian	მეგობარი_ბიჭი
man	boyfriend	Polish	chłopak
man	boyfriend	Polish	sympatia
man	boyfriend	Polish	przyjaciel
man	boyfriend	Polish	chłopiec
man	boyfriend	Polish	chłopaka
man	boyfriend	Polish	wieśniak
man	boyfriend	Serbian	љубавник
man	boyfriend	Serbian	дечко
man	boyfriend	Chinese	男朋友
man	boyfriend	Chinese	男友
man	boyfriend	Chinese	阿注
man	boyfriend	Chinese	男朋友_男朋友_對象_对象
man	boyfriend	Chinese	情郎
man	boyfriend	Chinese	男_友
man	boyfriend	Basque	mutil-lagun
man	boyfriend	Basque	lagun
man	boyfriend	Basque	adiskide
man	boyfriend	Basque	mutil
man	boyfriend	Arabic	صديق_الفتاة
man	boyfriend	Arabic	رَفِيق‎
man	boyfriend	Arabic	صْحاب‎
man	boyfriend	Arabic	خَلِيل‎
man	boyfriend	Arabic	خدن_الفتاة
man	boyfriend	Arabic	Boyfriend
man	boyfriend	Arabic	خليل
man	boyfriend	Arabic	فلاح
man	boyfriend	Arabic	صديقها
man	boyfriend	Greek	αγόρι
man	boyfriend	Greek	γκόμενος
man	boyfriend	Greek	εραστής
man	boyfriend	Greek	φίλος
man	boyfriend	Greek	θαυμαστής
man	boyfriend	Vietnamese	bạn_trai
man	boyfriend	Vietnamese	người_yêu
man	boyfriend	Vietnamese	người_ở_quê
man	boyfriend	Vietnamese	bạn_trai
man	beefcake	English	beefcake
man	beefcake	English	Beefcake_calendars
man	beefcake	Swedish	beefcake
man	beefcake	Spanish	beefcake
man	beefcake	Spanish	galán
man	beefcake	Spanish	churro
man	beefcake	Japanese	ビーフケーキ
man	beefcake	Japanese	筋_肉_質_の_男_性
man	beefcake	Japanese	筋肉質の男性
man	beefcake	Polish	beefcake
man	beefcake	Serbian	беефцаке
man	beefcake	Chinese	美型男
man	beefcake	Chinese	美_型_男
man	beefcake	Arabic	beefcake
man	beefcake	Greek	beefcake
man	beefcake	Vietnamese	beefcake
man	father	English	father
man	father	English	dad
man	father	English	Fathers
man	father	English	biological_father
man	father	English	Dads
man	father	English	daddy
man	father	English	male_parent
man	father	English	begetter
man	father	English	Papas
man	father	English	Papa
man	father	English	Fathering
man	father	English	Fathership
man	father	English	Biological_father
man	father	English	Non-human_fatherhood
man	father	English	Daddie
man	father	English	Daddy
man	father	English	Natural_father
man	father	English	Fatherhoods
man	father	Swedish	far
man	father	Swedish	fader
man	father	Swedish	pappa
man	father	Swedish	Fäder
man	father	Swedish	Pappa
man	father	Swedish	Far
man	father	Swedish	Farsa
man	father	Swedish	manlig_förälder
man	father	Swedish	biologiska_far
man	father	Swedish	begetter
man	father	Spanish	padre
man	father	Spanish	papá
man	father	Spanish	papi
man	father	Spanish	papa
man	father	Spanish	pa
man	father	Spanish	papito
man	father	Spanish	Papá
man	father	Spanish	Chaw
man	father	Spanish	progenitor_masculino
man	father	Spanish	engendrador
man	father	Spanish	padre_biológico
man	father	Japanese	父
man	father	Japanese	父親
man	father	Japanese	お父さん
man	father	Japanese	父上
man	father	Japanese	親父
man	father	Japanese	実父
man	father	Japanese	パパ
man	father	Japanese	異父
man	father	Japanese	バープー
man	father	Japanese	御父っつぁん
man	father	Japanese	おとっつあん
man	father	Japanese	御父っさん
man	father	Japanese	お父さま
man	father	Japanese	親父さま
man	father	Japanese	おやじ様
man	father	Japanese	てて親
man	father	Japanese	乃父
man	father	Japanese	厳親
man	father	Japanese	男親
man	father	Japanese	begetter
man	father	Japanese	師父
man	father	Japanese	父っつぁん
man	father	Japanese	父御
man	father	Japanese	父さん
man	father	Japanese	父君
man	father	Japanese	ファーザー
man	father	Japanese	父様
man	father	Japanese	椿堂
man	father	Japanese	お父様
man	father	Japanese	お父っつぁん
man	father	Japanese	お父っさん
man	father	Japanese	雄親
man	father	Japanese	御父様
man	father	Japanese	御父さん
man	father	Japanese	垂乳根
man	father	Georgian	მამა
man	father	Polish	ojciec
man	father	Polish	ojca
man	father	Polish	rodziciel
man	father	Polish	tata
man	father	Polish	tatuś
man	father	Polish	tato
man	father	Polish	Ojcostwo
man	father	Polish	Tata
man	father	Polish	biologicznym_ojcem
man	father	Polish	mężczyzna_rodzic
man	father	Polish	begetter
man	father	Serbian	отац
man	father	Serbian	otac
man	father	Serbian	тата
man	father	Serbian	tata
man	father	Serbian	Татко
man	father	Serbian	Тата
man	father	Serbian	мушко_родитељ
man	father	Serbian	биолошки_отац
man	father	Serbian	зачетник
man	father	Chinese	爸爸
man	father	Chinese	父亲
man	father	Chinese	父親
man	father	Chinese	阿爹
man	father	Chinese	父
man	father	Chinese	爸
man	father	Chinese	爹
man	father	Chinese	父_亲
man	father	Chinese	老窦
man	father	Chinese	家父
man	father	Chinese	皇阿玛
man	father	Chinese	先严
man	father	Chinese	老爹
man	father	Chinese	老爸
man	father	Chinese	爹地
man	father	Chinese	父王
man	father	Chinese	老头
man	father	Chinese	老頭
